distance,"Actuation: compressing","Actuation: releasing","Force: compressing","Force: releasing"
"0.88",0,0,"61.38205128205128","55.00512820512821"
"0.89",0,0,"62.38888888888889",55
"0.9",0,0,"62.21410256410257","54.50064102564103"
"0.91",0,0,"62.24410256410256","54.6965811965812"
"0.92",0,0,"62.22435897435897","54.65512820512821"
"0.93",0,0,"62.68974358974359","55.68782051282051"
"0.94",0,0,"62.46666666666667","55.76474358974359"
"0.95",0,0,"63.16776556776557","55.93269230769231"
"0.96",0,0,"64.14423076923077","56.33653846153847"
"0.97",0,0,"63.580769230769235","56.329743589743586"
"0.98",0,0,"64.1111111111111","56.437948717948714"
"0.99",0,0,"64.31666666666666","56.70683760683761"
1,0,0,"64.26666666666667","56.76205128205129"
"1.01",0,0,"64.18644688644689","56.29145299145299"
"1.02",0,0,"63.739102564102566","56.628846153846155"
"1.03",0,0,"63.96666666666667","56.56153846153846"
"1.04",0,0,"63.71923076923076","56.00923076923077"
"1.05",0,0,"63.918803418803414","55.45641025641025"
"1.06",0,0,"63.64743589743589","56.148717948717945"
"1.07",0,0,"64.14487179487179","56.13504273504274"
"1.08",0,0,"64.43931623931623","56.97179487179487"
"1.09",0,0,"64.14820512820513","58.25897435897436"
"1.1",0,0,"65.39413919413919","58.823076923076925"
"1.11",0,0,"65.67606837606839","58.57236467236467"
"1.12",0,0,"65.64529914529915","58.51965811965812"
"1.13",0,0,"65.96153846153845","59.105982905982906"
"1.14",0,0,"66.17660256410257","59.03589743589744"
"1.15",0,,"65.81923076923077",
"1.16",0,0,"65.83076923076922","59.4025641025641"
"1.17",0,0,"66.32358974358974","59.116410256410255"
"1.18",0,0,"66.06752136752137","59.20586080586081"
"1.19",0,0,"66.17076923076924","59.61025641025641"
"1.2",0,0,"66.63663003663002","59.72393162393163"
"1.21",0,0,"66.53717948717949","59.498974358974365"
"1.22",0,0,"66.73717948717949","59.92307692307693"
"1.23",0,0,"66.69794871794872","60.06623931623932"
"1.24",0,0,"66.50641025641025","59.86752136752136"
"1.25",0,0,"66.73931623931624","60.41076923076923"
"1.26",0,0,"67.63397435897437","61.242051282051285"
"1.27",0,0,"68.26495726495726","60.812820512820515"
"1.28",0,0,"68.59230769230768","60.94423076923077"
"1.29",0,0,"67.88076923076923","61.26730769230769"
